Date,^DJI,^GSPC,^IXIC,^NYA,^RUT,^VIX
2/13/1990,2624.100098,331.019989,425.7999878,1933.410034,158.1900024,23.76000023
2/14/1990,2624.320068,332.0100098,426.6000061,1937.209961,158.2200012,22.04999924
2/15/1990,2649.550049,334.8900146,429.6000061,1952.969971,159.1999969,19.70999908
2/16/1990,2635.590088,332.7200012,429,1942.920044,159.3000031,20.78000069
2/20/1990,2596.850098,327.9899902,423.7999878,1917.76001,157.8600006,22.78000069
2/21/1990,2583.560059,327.6700134,421.5,1914.589966,157.0500031,23.88999939
2/22/1990,2574.77002,325.7000122,422.7999878,1906.22998,157.8000031,22.54000092
2/23/1990,2564.189941,324.1499939,419.5,1896.400024,156.6399994,23.69000053
2/26/1990,2602.47998,328.6700134,421,1916.589966,156.3500061,23.55999947
2/27/1990,2617.120117,330.2600098,422.6000061,1926.109985,156.8399963,22.69000053
2/28/1990,2627.25,331.8900146,425.7999878,1935.72998,157.7200012,21.98999977
3/1/1990,2635.590088,332.7399902,427.2000122,1940.48999,158.0399933,21.89999962
3/2/1990,2660.360107,335.5400085,431,1955.819946,159.1900024,21.34000015
3/5/1990,2649.550049,333.7399902,430.2000122,1947.150024,159.2899933,22.03000069
3/6/1990,2676.800049,337.9299927,432.2999878,1968.51001,160.3999939,20.54999924
3/7/1990,2669.590088,336.9500122,432.5,1964.280029,160.8999939,19.10000038
3/8/1990,2696.169922,340.269989,436.5,1980.98999,162.0700073,19.73999977
3/9/1990,2683.330078,337.9299927,436.7999878,1968.619995,162.0800018,20.29999924
3/12/1990,2686.709961,338.6700134,436.6000061,1972.109985,162.2299957,20.06999969
3/13/1990,2674.550049,336,434.6000061,1958.780029,162.0599976,21.04999924
3/14/1990,2687.840088,336.8699951,436.2000122,1963.329956,162.7799988,19.64999962
3/15/1990,2695.719971,338.0700073,438.1000061,1968.829956,163.2599945,18.80999947
3/16/1990,2741.219971,341.9100037,442.2000122,1987.02002,164.2100067,17.62000084
3/19/1990,2755.629883,343.5299988,442.8999939,1994.839966,164.3800049,18.29000092
3/20/1990,2738.73999,341.5700073,440.1000061,1984.790039,164.2400055,19.05999947
3/21/1990,2727.929932,339.7399902,439.2999878,1975.380005,164.2400055,20.10000038
3/22/1990,2695.719971,335.6900024,434.5,1952.969971,162.7400055,22.73999977
3/23/1990,2704.280029,337.2200012,437.2999878,1960.900024,163.6199951,20.45999908
3/26/1990,2707.659912,337.6300049,438.7999878,1962.47998,163.8200073,19.59000015
3/27/1990,2736.939941,341.5,439.5,1981.52002,164.0700073,21.01000023
3/28/1990,2743.689941,342,436.7000122,1985.430054,163.8000031,19.77000046
3/29/1990,2727.699951,340.7900085,435.3999939,1979.089966,163.4100037,18.45999908
3/30/1990,2707.209961,339.9400024,435.5,1975.699951,163.6300049,19.72999954
4/2/1990,2700.449951,338.7000122,433.2000122,1967.560059,162.3399963,22.84000015
