Date,Dow Jones Industrial Average,DJIA % Change,S&P 500,S&P % Change,NASDAQ Composite,NASDAQ % Change,NYSE COMPOSITE,NYSE % Change,Russell 2000,Russell % Change,CBOE Volatility Index,VIX % Change,Recession
5/21/1990,2844.679932,0.008745621,358,0.009429755,452.8999939,0.010208713,2064.840088,0.008897312,166.6499939,0.007287162,16.71999931,-0.028303862,No
5/22/1990,2852.22998,0.002650578,358.4299927,0.001200376,453.8999939,0.002205559,2068.01001,0.001534013,167.2200012,0.00341455,17.84000015,0.064837569,No
5/23/1990,2856.26001,0.001411943,359.2900085,0.002396523,456.8999939,0.006587639,2070.870117,0.001382068,167.8000031,0.003462495,17.18000031,-0.037697201,No
5/24/1990,2855.550049,-0.000248594,358.4100037,-0.002452293,458.2999878,0.00305943,2066.850098,-0.001943109,167.9400024,0.000833975,17.70000076,0.029818748,No
5/25/1990,2820.919922,-0.012201441,354.5799866,-0.01074364,453.7000122,-0.010087751,2048.23999,-0.009044874,167.2899933,-0.003877994,17.31999969,-0.021702797,No
5/29/1990,2870.48999,0.017419698,360.6499939,0.016973989,457.5,0.008340671,2078.47998,0.014655965,168.1999969,0.005424936,18.75,0.079331867,No
5/30/1990,2878.560059,0.002807446,360.8599854,0.000582089,458.7999878,0.002837474,2080.379883,0.000913665,168.6699982,0.002790403,17.44000053,-0.072427304,No
5/31/1990,2876.659912,-0.000660321,361.230011,0.001024874,459,0.000435851,2082.389893,0.000965708,168.9100037,0.001421918,17.37000084,-0.00402182,No
6/1/1990,2900.969971,0.008415285,363.1600037,0.005328614,462.1000061,0.006731121,2093.919922,0.005521649,169.6999969,0.004666103,17.09000015,-0.016251123,No
6/4/1990,2935.189941,0.011727013,367.3999939,0.011607637,465.6000061,0.007545578,2116.969971,0.010947937,170.6199951,0.005406679,18.38999939,0.0733135,No
6/5/1990,2925,-0.003477686,366.6400146,-0.002070676,464.6000061,-0.002150076,2114.01001,-0.001399185,170.2299957,-0.002288394,18.96999931,0.031051742,No
6/6/1990,2911.649902,-0.004574584,364.9599915,-0.004592745,465,0.000860572,2105.76001,-0.003910171,169.9100037,-0.001881532,17.42000008,-0.085239772,No
6/7/1990,2897.330078,-0.004930247,363.1499939,-0.00497178,464.1000061,-0.001937346,2095.820068,-0.004731534,169.8000031,-0.000647615,16.87999916,-0.031489537,No
6/8/1990,2862.379883,-0.012136244,358.7099915,-0.012301716,460.8999939,-0.006918973,2072.97998,-0.010957741,168.9299927,-0.005136907,17.57999992,0.040632448,No
6/11/1990,2892.570068,0.010491998,361.6300049,0.008107364,462.7999878,0.004113882,2087.469971,0.006965617,169.0899963,0.000946711,16.34000015,-0.073145789,No
6/12/1990,2933.419922,0.014023547,366.25,0.012694557,466.6000061,0.008177404,2111.149902,0.011279984,170.0299988,0.005543789,16.60000038,0.01578662,No
6/13/1990,2929.949951,-0.00118361,364.8999939,-0.003692834,468.8999939,0.00491714,2104.169922,-0.003311723,170.8699951,0.00492812,17.37999916,0.045917353,No
6/14/1990,2928.219971,-0.000590621,362.8999939,-0.005496029,467.1000061,-0.003846133,2093.389893,-0.005136343,170.6300049,-0.001405507,17.39999962,0.001150113,No
6/15/1990,2935.889893,0.002615888,362.9100037,2.76E-05,467.6000061,0.001069862,2092.120117,-0.000606749,170.8999939,0.001581056,15.89999962,-0.090151099,No
6/18/1990,2882.179932,-0.018463679,356.8800049,-0.016755275,460.7999878,-0.01464916,2061.139893,-0.014918786,168.7200012,-0.012838011,17.70999908,0.107810315,No
6/19/1990,2893.560059,0.00394067,358.4700012,0.004445373,460.5,-0.000651227,2068.330078,0.00348238,168.3800049,-0.002017184,15.22999954,-0.150862263,No
6/20/1990,2895.300049,0.000601151,359.1000061,0.00175594,460.7999878,0.000651227,2070.76001,0.001174138,168.1199951,-0.001545378,15.27000046,0.002623013,No
6/21/1990,2901.72998,0.002218354,360.4700012,0.003807821,461.2999878,0.001084481,2077.629883,0.00331207,168.4400024,0.001901637,14.72000027,-0.036683018,No
6/22/1990,2857.179932,-0.015472003,355.4299927,-0.014080435,459.2999878,-0.004344999,2053.840088,-0.01151651,168.0099945,-0.002556149,19.36000061,0.274001982,No
6/25/1990,2845.050049,-0.004254441,352.3099976,-0.008816841,455.6000061,-0.00808832,2036.5,-0.008478606,167.1300049,-0.005251487,17.05999947,-0.126472602,No
6/26/1990,2842.330078,-0.000956494,352.0599976,-0.000709854,455.3999939,-0.000439105,2035.130005,-0.000672947,166.8899994,-0.001437073,16.29000092,-0.046185032,No
6/27/1990,2862.129883,0.006941896,355.1400146,0.00871051,456.8999939,0.003288395,2049.929932,0.007245912,167.2400055,0.00209503,16,-0.017962757,No
6/28/1990,2878.709961,0.005776202,357.6300049,0.006986827,460.3999939,0.007631128,2063.780029,0.006733654,168.4100037,0.006971565,16.18000031,0.011187209,No
